City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,new norfolk,-42.7826,147.0587,10.95,71,45,2.27,AU,1693381694
1,maharajgani,26.1167,84.4833,36.13,41,59,2.34,IN,1693381695
2,bredasdorp,-34.5322,20.0403,22.55,46,0,0.99,ZA,1693381627
3,st. john's,47.5649,-52.7093,15.66,93,75,6.69,CA,1693381566
4,kununurra,-15.7667,128.7333,34.99,14,100,3.6,AU,1693381696
5,arraial do cabo,-22.9661,-42.0278,20.65,90,96,6.59,BR,1693381697
6,sinabang,2.4803,96.3801,27.83,80,62,1.6,ID,1693381697
7,port-aux-francais,-49.35,70.2167,1.13,65,98,16.29,TF,1693381697
8,grytviken,-54.2811,-36.5092,-1.17,84,18,6.04,GS,1693381698
9,udachny,66.4167,112.4,18.03,88,100,2.46,RU,1693381525
10,saint-philippe,-21.3585,55.7679,24.51,82,87,7.01,RE,1693381699
11,tamanrasset,22.785,5.5228,24.95,38,0,2.06,DZ,1693381699
12,college,64.8569,-147.8028,17.99,83,100,2.57,US,1693381700
13,blackmans bay,-43.0167,147.3167,10.29,72,38,3.5,AU,1693381700
14,anadyr,64.75,177.4833,10.28,61,0,3.58,RU,1693381701
15,hithadhoo,-0.6,73.0833,28.23,70,100,4.97,MV,1693381701
16,yellowknife,62.456,-114.3525,20.31,78,87,5.81,CA,1693381701
17,cannonvale,-20.2833,148.7,20.66,75,63,1.9,AU,1693381702
18,edinburgh of the seven seas,-37.0676,-12.3116,10.45,63,58,9.33,SH,1693381702
19,stanley,54.868,-1.6985,12.08,80,0,3.6,GB,1693381703
20,port blair,11.6667,92.75,30.02,70,75,4.63,IN,1693381705
21,ishigaki,24.3448,124.1572,31.07,74,40,6.17,JP,1693381705
22,emerald,-23.5333,148.1667,20.95,38,76,1.22,AU,1693381680
23,greenville,35.6127,-77.3663,23.4,99,75,0.0,US,1693381601
24,qaqortoq,60.7167,-46.0333,6.53,94,62,0.45,GL,1693381706
25,port lincoln,-34.7333,135.8667,12.03,68,100,5.66,AU,1693381707
26,vadso,70.0744,29.7487,14.49,82,40,3.09,NO,1693381707
27,adamstown,-25.066,-130.1015,18.27,90,100,3.82,PN,1693381708
28,ushuaia,-54.8,-68.3,1.54,99,100,1.04,AR,1693381708
29,qingdao,36.0986,120.3719,27.78,44,75,5.0,CN,1693381626
30,coquimbo,-29.9533,-71.3436,11.85,93,40,2.57,CL,1693381709
31,mount pearl,47.5166,-52.7813,15.19,93,75,6.69,CA,1693381629
32,mournies,35.4764,24.0092,27.68,61,20,10.29,GR,1693381710
33,bandarban,22.1965,92.2262,31.84,91,100,1.64,BD,1693381619
34,waitangi,-43.9535,-176.5597,9.34,89,15,0.89,NZ,1693381711
35,bilibino,68.0546,166.4372,9.11,95,100,1.79,RU,1693381712
36,feijo,-8.1642,-70.3536,23.39,79,0,1.05,BR,1693381712
37,hawaiian paradise park,19.5933,-154.9731,23.83,93,100,0.0,US,1693381713
38,xingcheng,40.6167,120.7167,23.39,66,60,4.85,CN,1693381714
39,jamestown,42.097,-79.2353,16.92,100,100,0.0,US,1693381714
40,wailua homesteads,22.0669,-159.378,27.44,76,100,7.2,US,1693381715
41,albany,42.6001,-73.9662,21.14,92,95,1.38,US,1693381715
42,weno,7.4515,151.8468,28.97,84,100,3.09,FM,1693381716
43,tiksi,71.6872,128.8694,5.07,85,99,8.18,RU,1693381716
44,ribeira grande,38.5167,-28.7,22.22,88,20,3.09,PT,1693381717
45,longyearbyen,78.2186,15.6401,6.91,87,75,0.51,SJ,1693381717
46,puerto natales,-51.7236,-72.4875,-0.04,93,78,1.91,CL,1693381718
47,vylkove,45.4021,29.586,28.03,55,0,5.95,UA,1693381719
48,luwuk,-0.9516,122.7875,28.26,65,43,4.82,ID,1693381603
49,gebeit,21.0667,36.3167,36.24,18,12,0.62,SD,1693381720
50,fort bragg,35.139,-79.006,23.28,98,20,0.0,US,1693381720
51,langsa,4.4683,97.9683,31.27,62,45,3.34,ID,1693381613
52,bubaque,11.2833,-15.8333,26.73,79,94,5.16,GW,1693381721
53,pekan,3.4836,103.3996,34.06,76,99,3.67,MY,1693381721
54,georgetown,5.4112,100.3354,32.96,66,40,5.14,MY,1693381497
55,batticaloa,7.7102,81.6924,29.66,69,100,7.3,LK,1693381722
56,vostochnyy,55.8167,37.8667,17.84,65,62,0.43,RU,1693381722
57,poronaysk,49.2167,143.1167,15.27,80,100,2.21,RU,1693381723
58,gereshk,31.8209,64.5701,38.32,5,0,2.22,AF,1693381723
59,sena madureira,-9.0656,-68.6569,24.61,71,0,1.07,BR,1693381724
60,parnu,58.3859,24.4971,16.05,100,75,5.14,EE,1693381665
61,kashgar,39.4547,75.9797,28.56,23,0,3.0,CN,1693381544
62,thompson,55.7435,-97.8558,12.09,94,75,0.0,CA,1693381725
63,iqaluit,63.7506,-68.5145,3.85,86,75,1.54,CA,1693381725
64,lihue,21.9789,-159.3672,27.77,69,100,7.2,US,1693381726
65,horta,38.5333,-28.6333,21.8,91,20,3.09,PT,1693381726
66,port mathurin,-19.6833,63.4167,22.56,74,11,5.14,MU,1693381727
67,olonkinbyen,70.9221,-8.7187,4.77,91,97,2.72,SJ,1693381727
68,codrington,-38.2667,141.9667,10.61,66,100,5.54,AU,1693381727
69,east london,-33.0153,27.9116,25.52,31,0,2.57,ZA,1693381464
70,tazovsky,67.4667,78.7,12.82,56,84,5.48,RU,1693381728
71,tari,12.4086,4.4914,27.05,77,100,5.43,NG,1693381728
72,vila franca do campo,37.7167,-25.4333,21.23,74,94,2.08,PT,1693381729
73,vernon,50.2581,-119.2691,21.07,60,100,2.24,CA,1693381592
74,hermanus,-34.4187,19.2345,19.21,69,0,2.49,ZA,1693381484
75,talnakh,69.4865,88.3972,16.85,47,100,2.97,RU,1693381730
76,paoua,7.2427,16.4406,25.05,75,100,0.83,CF,1693381731
77,aasiaat,68.7098,-52.8699,2.63,89,100,2.79,GL,1693381731
78,punta arenas,-53.15,-70.9167,1.74,86,100,3.76,CL,1693381731
79,sisimiut,66.9395,-53.6735,4.75,85,100,1.8,GL,1693381732
80,klyuchi,52.2667,79.1667,27.89,25,97,6.88,RU,1693381733
81,invercargill,-46.4,168.35,7.55,85,20,4.25,NZ,1693381500
82,dunedin,-45.8742,170.5036,9.33,80,26,0.89,NZ,1693381734
83,hasaki,35.7333,140.8333,33.5,83,79,6.83,JP,1693381734
84,shingu,33.7333,135.9833,25.92,88,100,1.29,JP,1693381628
85,westport,41.1415,-73.3579,22.9,92,100,2.06,US,1693381735
